timestep,id,x,y,angle,type,speed,pos,lane,slope,signals,acceleration,distance,odometer,posLat
11,bus1,-105.024439,39.747561,89.85,bus_bus,8.26,8.13,-318778475#2_0,0,2,1.13,8.13,40.27,0
11,bus2,-105.006353,39.741115,80.58,bus_bus,6.77,4.3,628622243#0_0,0,0,0.04,4.3,32.69,0
11,bus3,-104.989729,39.725652,90.4,bus_bus,6.53,37.64,628677783#0_2,0,0,1.06,37.64,25.54,0
11,bus4,-104.961006,39.738733,0.28,bus_bus,5.2,28.36,131625591#5_0,0,0,0.93,28.36,16.26,0
11,bus5,-104.97148,39.732047,89.66,bus_bus,3.59,21.47,-579543366#10_0,0,2,0.95,21.47,9.37,0
11,bus6,-104.983634,39.747478,98.12,bus_bus,2.88,4.82,:176072814_8_0,0,1,1.09,17.45,5.35,0
11,bus7,-104.97295,39.729269,359.85,bus_bus,0.67,12.77,337148297#11_0,0,0,0.67,12.77,0.67,0
11,bus8,-104.97203,39.730476,269.92,bus_bus,0,12.1,-580178497#3_0,0,0,0,12.1,0,0
11,veh0,-104.990639,39.725714,90.43,veh_passenger,0,15.71,427704888#4_4,0,10,0,15.71,10.61,0
11,veh1,-104.990825,39.730239,329.83,veh_passenger,14.47,21.26,132741915#0_1,0,0,0.16,21.26,87.68,0
11,veh10,-104.990942,39.738447,89.69,veh_passenger,13.06,53.22,130911269#0_0,0,1,1.81,53.22,48.12,0
11,veh11,-104.986413,39.74814,313.76,veh_passenger,0.8,30.06,89783817#0_3,0,8,-2.81,30.06,24.96,0
11,veh12,-104.969475,39.733742,269.7,veh_passenger,6.75,4.46,:176081909_1_0,0,0,1.59,54.11,49.01,0
11,veh13,-105.005819,39.747407,239.82,veh_passenger,10.51,34.61,628634506#0_2,0,0,2.29,34.61,29.51,0
11,veh14,-105.02521,39.754865,155.65,veh_passenger,9.31,0.39,:cluster_176082472_4972952205_18_0,0,10,-1.63,55.06,49.96,0
11,veh15,-104.978161,39.754299,180.03,veh_passenger,9.17,27.6,-549942085_0,0,0,2.51,27.6,22.5,0
11,veh16,-104.998603,39.739679,150.34,veh_passenger,7.84,25.92,132706724#0_0,0,0,1.51,25.92,20.82,0
11,veh17,-104.974071,39.746118,286.78,veh_passenger,6.38,7.59,:3376601239_0_0,0,0,2.09,17.61,12.51,0
11,veh18,-104.982612,39.736859,270.06,veh_passenger,6.69,17.8,628657310#0_2,0,2,2.52,17.8,12.7,0
11,veh19,-105.010488,39.725594,88.87,veh_passenger,4.66,12.27,567446119_1,0,0,2.15,12.27,7.17,0
11,veh2,-104.961217,39.727313,269.83,veh_passenger,6.04,81.33,586800346#3_0,0,8,-3.86,81.33,76.23,0
11,veh20,-104.980182,39.74889,134.64,veh_passenger,2.95,9.59,-798190532#2_0,0,1,1.4,9.59,4.49,0
11,veh21,-104.963636,39.749478,269.87,veh_passenger,1.79,6.89,-279927547#1_0,0,2,1.79,6.89,1.79,0
11,veh22,-104.974249,39.727293,269.96,veh_passenger,1.98,7.08,-337216230#5_0,0,0,1.98,7.08,1.98,0
11,veh23,-104.991814,39.740153,270.44,veh_passenger,2.47,7.57,427702697#0_0,0,0,2.47,7.57,2.47,0
11,veh24,-104.982531,39.723261,312.06,veh_passenger,0,5.1,131657785#7_1,0,0,0,5.1,0,0
11,veh25,-105.025059,39.730742,358.48,veh_passenger,0,5.1,1078447164_3,0,0,0,5.1,0,0
11,veh3,-105.010823,39.74023,91.65,veh_passenger,18.85,12.33,628707474_0,0,0,2.25,12.33,98.88,0
11,veh4,-104.975749,39.750327,0.02,veh_passenger,13.03,85.95,16985352#3_0,0,2,-0.39,85.95,80.85,0
11,veh5,-104.982899,39.748365,225.15,veh_passenger,8.81,59.41,-781314133#1_0,0,0,0.72,59.41,54.31,0
11,veh6,-105.020099,39.740003,92.6,veh_passenger,9.82,13.96,16981556#3_0,0,0,1.38,13.96,85.35,0
11,veh7,-104.974095,39.750749,270.11,veh_passenger,13.22,55.54,-446229412#15_0,0,0,2.49,55.54,50.44,0
11,veh8,-104.976385,39.746088,315.76,veh_passenger,0.01,13.71,781383478#2_1,0,10,-0.01,13.71,8.61,0
11,veh9,-105.025167,39.750616,0.12,veh_passenger,12.6,61.82,628585103#6_0,0,1,0.37,61.82,56.72,0
12,bus0,-104.997452,39.732113,270.11,bus_bus,10.74,79.41,336167361#0_0,0,0,0.91,79.41,67.31,0
12,bus1,-105.02433,39.747561,89.85,bus_bus,9.41,17.54,-318778475#2_0,0,2,1.14,17.54,49.68,0
12,bus2,-105.006276,39.741148,75.54,bus_bus,7.62,11.91,628622243#0_0,0,1,0.84,11.91,40.3,0
12,bus3,-104.989643,39.725651,90.4,bus_bus,7.35,44.99,628677783#0_2,0,0,0.81,44.99,32.89,0
12,bus4,-104.961006,39.738789,0.28,bus_bus,6.29,34.64,131625591#5_0,0,0,1.09,34.64,22.54,0
12,bus5,-104.971429,39.732047,89.66,bus_bus,4.33,25.79,-579543366#10_0,0,2,0.74,25.79,13.69,0
12,bus6,-104.983619,39.747445,120.46,bus_bus,3.9,8.72,:176072814_8_0,0,1,1.02,21.35,9.25,0
12,bus7,-104.97295,39.729282,359.83,bus_bus,1.44,14.2,337148297#11_0,0,0,0.77,14.2,2.1,0
12,bus8,-104.972042,39.730476,269.92,bus_bus,0.99,13.09,-580178497#3_0,0,0,0.99,13.09,0.99,0
12,bus9,-104.960055,39.750736,269.42,bus_bus,0,12.1,-589990616#1_0,0,0,0,12.1,0,0
12,veh0,-104.990639,39.725714,90.43,veh_passenger,0,15.71,427704888#4_4,0,10,0,15.71,10.61,0
